 'species'::'rioter','cycle'::rioter_cyclesi,'time'::rioter_timesi,'name'::rioter_namesi,'x'::rioter_x_locsi,'y'::rioter_y_locsi,'state_flock'::rioter_is_in_state_flocki,'state_violent'::rioter_is_in_state_violenti,'state_retreat'::rioter_is_in_state_retreati,'spatial_incursion_detected'::rioter_spatial_incursion_detectedi,'outnumbered_detected'::rioter_outnumbered_detectedi,'feeling_target_for_arrest_detected'::rioter_feeling_target_for_arrest_detectedi,'being_arrested_detected'::rioter_being_arrested_detectedi,'unjust_arrest_around_detected'::rioter_unjust_arrest_around_detectedi,'surrounded_detected'::rioter_surrounded_detectedi,'any_police_officer_around_detected'::rioter_any_police_officer_around_detectedi,'order_to_scatter_signal_detected'::rioter_order_to_scatter_signal_detectedi,'arrest_around_detected'::rioter_arrest_around_detectedi,'has_fear_confirmed'::rioter_has_fear_confirmedi,'has_fear'::rioter_has_feari,'has_anger'::rioter_has_angeri,'has_sadness'::rioter_has_sadnessi,'has_joy'::rioter_has_joyi,'grievance'::rioter_grievancei,'arrest_proba'::rioter_arrest_probai,'aggr_police_social_liking'::rioter_aggr_police_social_likingi,'record_damage_done'::rioter_record_damage_donei,'risk_aversion'::rioter_risk_aversioni,'police_social_liking_influence'::rioter_police_social_liking_influencei,'felt_negative_emotions'::rioter_felt_negative_emotionsi,'feel_strong_negative_emotions'::rioter_feel_strong_negative_emotionsi,'current_energy'::rioter_current_energyi 
rioter,0,0.0,rioter0,7.480954260847167,27.1781924484317,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.9210579560888517,0.0,0.0,0.0,0.8337370483693988,1.0,0.0,false,300.0
rioter,0,0.0,rioter1,23.65652870627942,26.07784878072645,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.22864842091119342,0.0,0.0,0.0,0.6700364036400048,1.0,0.0,false,300.0
rioter,0,0.0,rioter2,20.712331772648607,27.078531600073525,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.6394136095640567,0.0,0.0,0.0,0.7936464382764477,1.0,0.0,false,300.0
rioter,0,0.0,rioter3,48.66240804008395,17.605615169860958,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.8804286736299693,0.999998984368529,0.0,0.0,0.9772629693492578,1.0,0.0,false,300.0
rioter,0,0.0,rioter4,32.58419756163751,27.49422187850054,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.6686525155335417,0.0,0.0,0.0,0.0130199727158482,1.0,0.0,false,300.0
rioter,0,0.0,rioter5,33.704655168574256,20.647200662049478,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.8328375596735239,0.0,0.0,0.0,0.28705681487082024,1.0,0.0,false,300.0
rioter,0,0.0,rioter6,33.650223119559826,21.910002056424883,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.8659881268005147,0.0,0.0,0.0,0.9329387932285785,1.0,0.0,false,300.0
rioter,0,0.0,rioter7,12.239735067347846,16.862991523681707,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.6599392047790961,0.0,0.0,0.0,0.5057250328137843,1.0,0.0,false,300.0
rioter,0,0.0,rioter8,5.638807524251299,32.454146616099585,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.6775263362792603,0.9999898699064014,0.0,0.0,0.8198385497926638,1.0,0.0,false,300.0
rioter,0,0.0,rioter9,20.312715307004336,23.026960983937627,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.163228840468292,0.0,0.0,0.0,0.23428058340196067,1.0,0.0,false,300.0
rioter,0,0.0,rioter10,22.122189375240758,24.128981483121116,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.00950206999352576,0.0,0.0,0.0,0.3174267128051701,1.0,0.0,false,300.0
rioter,0,0.0,rioter11,48.045353054031445,17.321555270018596,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.12089755125491874,0.999998984368529,0.0,0.0,0.5413795779764601,1.0,0.0,false,300.0
