 'species'::'rioter','cycle'::rioter_cyclesi,'time'::rioter_timesi,'name'::rioter_namesi,'x'::rioter_x_locsi,'y'::rioter_y_locsi,'state_flock'::rioter_is_in_state_flocki,'state_violent'::rioter_is_in_state_violenti,'state_retreat'::rioter_is_in_state_retreati,'spatial_incursion_detected'::rioter_spatial_incursion_detectedi,'outnumbered_detected'::rioter_outnumbered_detectedi,'feeling_target_for_arrest_detected'::rioter_feeling_target_for_arrest_detectedi,'being_arrested_detected'::rioter_being_arrested_detectedi,'unjust_arrest_around_detected'::rioter_unjust_arrest_around_detectedi,'surrounded_detected'::rioter_surrounded_detectedi,'any_police_officer_around_detected'::rioter_any_police_officer_around_detectedi,'order_to_scatter_signal_detected'::rioter_order_to_scatter_signal_detectedi,'arrest_around_detected'::rioter_arrest_around_detectedi,'has_fear_confirmed'::rioter_has_fear_confirmedi,'has_fear'::rioter_has_feari,'has_anger'::rioter_has_angeri,'has_sadness'::rioter_has_sadnessi,'has_joy'::rioter_has_joyi,'grievance'::rioter_grievancei,'arrest_proba'::rioter_arrest_probai,'aggr_police_social_liking'::rioter_aggr_police_social_likingi,'record_damage_done'::rioter_record_damage_donei,'risk_aversion'::rioter_risk_aversioni,'police_social_liking_influence'::rioter_police_social_liking_influencei,'felt_negative_emotions'::rioter_felt_negative_emotionsi,'feel_strong_negative_emotions'::rioter_feel_strong_negative_emotionsi,'current_energy'::rioter_current_energyi 
rioter,0,0.0,rioter0,38.06016988378801,29.53804706390287,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.8802891807282124,0.0,0.0,0.0,0.7878740817426216,1.0,0.0,false,300.0
rioter,0,0.0,rioter1,23.75334415912448,21.597005681239132,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.6378601638440378,0.0,0.0,0.0,0.3885503248467832,1.0,0.0,false,300.0
rioter,0,0.0,rioter2,14.154534968908465,18.337714601895993,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.5044780370859137,0.0,0.0,0.0,0.13656917578169636,1.0,0.0,false,300.0
rioter,0,0.0,rioter3,47.54999211020246,29.959004826289526,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.7550294993034276,0.0,0.0,0.0,0.3187820583734373,1.0,0.0,false,300.0
rioter,0,0.0,rioter4,10.078058963799236,29.042341263627943,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.13095166302339778,0.0,0.0,0.0,0.47823079145646896,1.0,0.0,false,300.0
rioter,0,0.0,rioter5,33.7389556598325,17.947200467883807,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.4575424775238268,0.0,0.0,0.0,0.9978587078756237,1.0,0.0,false,300.0
rioter,0,0.0,rioter6,42.269612431909636,28.141233513167233,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.39579115049248037,0.0,0.0,0.0,0.8984112048706235,1.0,0.0,false,300.0
rioter,0,0.0,rioter7,19.938744676611268,28.6307193561689,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.15596348842177532,0.0,0.0,0.0,0.6406694760132319,1.0,0.0,false,300.0
rioter,0,0.0,rioter8,0.720004694100723,18.90767836051531,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.12597085664049013,0.9989922145709514,0.0,0.0,0.604249785194419,1.0,0.0,false,300.0
rioter,0,0.0,rioter9,0.14514361248369312,30.956695466738303,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.38812431993492735,0.8997411562771962,0.0,0.0,0.8081639211682773,1.0,0.0,false,300.0
rioter,0,0.0,rioter10,38.520051125016764,32.21357755952055,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.5807711926409307,0.0,0.0,0.0,0.8268409377147415,1.0,0.0,false,300.0
rioter,0,0.0,rioter11,46.71877932378845,34.13770353075171,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.7073370965184731,0.9999999989764614,0.0,0.0,0.16256337991719727,1.0,0.0,false,300.0
rioter,0,0.0,rioter12,38.96993732892131,32.59188200348632,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.6652732222620845,0.0,0.0,0.0,0.7720299202295383,1.0,0.0,false,300.0
rioter,0,0.0,rioter13,0.689525191042712,28.855676218341728,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.8843223653545341,0.0,0.0,0.0,0.9710140100424279,1.0,0.0,false,300.0
rioter,0,0.0,rioter14,22.299485158806956,28.42877816541558,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.5472227949545999,0.0,0.0,0.0,0.7126373569453119,1.0,0.0,false,300.0
rioter,0,0.0,rioter15,4.6385843515440826,26.981167791467705,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.5057474426423618,0.0,0.0,0.0,0.5501388307845294,1.0,0.0,false,300.0
rioter,0,0.0,rioter16,3.6259060011457906,32.54805620590172,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.1743366155606958,0.9999999989764614,0.0,0.0,0.04927269668802603,1.0,0.0,false,300.0
rioter,0,0.0,rioter17,13.280910987312623,21.740362059596222,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.3899167148389029,0.0,0.0,0.0,0.8275899854165548,1.0,0.0,false,300.0
rioter,0,0.0,rioter18,41.149282477338446,27.16266311885868,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.3113358092479348,0.0,0.0,0.0,0.0480932149812513,1.0,0.0,false,300.0
rioter,0,0.0,rioter19,12.760763028589308,17.370904850553398,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.256485727026065,0.0,0.0,0.0,0.5433274365138329,1.0,0.0,false,300.0
rioter,0,0.0,rioter20,3.921265712025225,21.264608934769747,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.5042309956932108,0.0,0.0,0.0,0.965500632377651,1.0,0.0,false,300.0
rioter,0,0.0,rioter21,4.573488471432614,15.345180925463076,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.2308585644076001,0.9999999999989685,0.0,0.0,0.15043592421595076,1.0,0.0,false,300.0
