 'species'::'police_officer','cycle'::police_cyclesi,'time'::police_timesi,'name'::police_namesi,'x'::police_x_locsi,'y'::police_y_locsi,'state_formation'::police_is_in_state_formationi,'state_protect'::police_is_in_state_protecti,'state_retreat'::police_is_in_state_retreati,'n_detected_violent_offenders'::police_n_detected_violent_offendersi,'record_arrest_contribution'::police_record_arrest_contributioni,'police_resistance'::police_resistancei 
police_officer,1,1.0,police_officer0,46.25,12.666666666666666,false,false,false,0,0.0,1000.0
police_officer,1,1.0,police_officer1,48.75,12.666666666666666,false,false,false,0,0.0,1000.0
police_officer,1,1.0,police_officer2,1.25,12.666666666666666,false,false,false,0,0.0,1000.0
police_officer,1,1.0,police_officer3,3.75,12.666666666666666,false,false,false,0,0.0,1000.0
police_officer,1,1.0,police_officer4,46.54765472277088,13.711980565197784,false,false,false,0,0.0,1000.0
police_officer,1,1.0,police_officer5,48.75,14.0,false,false,false,0,0.0,1000.0
police_officer,1,1.0,police_officer6,1.25,14.0,false,false,false,0,0.0,1000.0
police_officer,1,1.0,police_officer7,3.4523452772291146,13.711980565197782,false,false,false,0,0.0,1000.0
police_officer,1,1.0,police_officer8,47.12721843726525,14.141211205951018,false,false,false,0,0.0,1000.0
police_officer,1,1.0,police_officer9,48.88073479742573,14.791286584022275,false,false,false,0,0.0,1000.0
police_officer,1,1.0,police_officer10,1.1192652025742662,14.791286584022275,false,false,false,0,0.0,1000.0
police_officer,1,1.0,police_officer11,2.8727815627347555,14.141211205951018,false,false,false,0,0.0,1000.0
police_officer,1,1.0,police_officer12,21.25,12.666666666666666,false,false,false,0,0.0,1000.0
police_officer,1,1.0,police_officer13,23.75,12.666666666666666,false,false,false,0,0.0,1000.0
police_officer,1,1.0,police_officer14,26.25,12.666666666666666,false,false,false,0,0.0,1000.0
police_officer,1,1.0,police_officer15,28.75,12.666666666666666,false,false,false,0,0.0,1000.0
police_officer,1,1.0,police_officer16,21.547654722770886,13.711980565197782,false,false,false,0,0.0,1000.0
police_officer,1,1.0,police_officer17,23.75,14.0,false,false,false,0,0.0,1000.0
police_officer,1,1.0,police_officer18,26.25,14.0,false,false,false,0,0.0,1000.0
police_officer,1,1.0,police_officer19,28.452345277229114,13.711980565197782,false,false,false,0,0.0,1000.0
police_officer,1,1.0,police_officer20,22.127218437265242,14.14121120595102,false,false,false,0,0.0,1000.0
police_officer,1,1.0,police_officer21,23.880734797425735,14.791286584022275,false,false,false,0,0.0,1000.0
police_officer,1,1.0,police_officer22,26.119265202574265,14.791286584022275,false,false,false,0,0.0,1000.0
police_officer,1,1.0,police_officer23,27.872781562734758,14.14121120595102,false,false,false,0,0.0,1000.0
police_officer,1,1.0,police_officer24,3.75,37.33333333333333,false,false,false,0,0.0,1000.0
police_officer,1,1.0,police_officer25,1.25,37.333333333333336,false,false,false,0,0.0,1000.0
police_officer,1,1.0,police_officer26,48.75,37.333333333333336,false,false,false,0,0.0,1000.0
police_officer,1,1.0,police_officer27,46.25,37.333333333333336,false,false,false,0,0.0,1000.0
police_officer,1,1.0,police_officer28,3.4523452772291137,36.288019434802216,false,false,false,0,0.0,1000.0
police_officer,1,1.0,police_officer29,1.2500000000000002,36.0,false,false,false,0,0.0,1000.0
police_officer,1,1.0,police_officer30,48.75,36.0,false,false,false,0,0.0,1000.0
police_officer,1,1.0,police_officer31,46.547654722770886,36.288019434802216,false,false,false,0,0.0,1000.0
police_officer,1,1.0,police_officer32,2.872781562734755,35.85878879404898,false,false,false,0,0.0,1000.0
police_officer,1,1.0,police_officer33,1.1192652025742662,35.20871341597772,false,false,false,0,0.0,1000.0
police_officer,1,1.0,police_officer34,48.88073479742573,35.20871341597772,false,false,false,0,0.0,1000.0
police_officer,1,1.0,police_officer35,47.12721843726524,35.85878879404898,false,false,false,0,0.0,1000.0
police_officer,1,1.0,police_officer36,28.75,37.33333333333333,false,false,false,0,0.0,1000.0
police_officer,1,1.0,police_officer37,26.25,37.333333333333336,false,false,false,0,0.0,1000.0
police_officer,1,1.0,police_officer38,23.75,37.333333333333336,false,false,false,0,0.0,1000.0
police_officer,1,1.0,police_officer39,21.25,37.333333333333336,false,false,false,0,0.0,1000.0
police_officer,1,1.0,police_officer40,28.452345277229114,36.288019434802216,false,false,false,0,0.0,1000.0
police_officer,1,1.0,police_officer41,26.25,36.0,false,false,false,0,0.0,1000.0
police_officer,1,1.0,police_officer42,23.75,36.0,false,false,false,0,0.0,1000.0
police_officer,1,1.0,police_officer43,21.547654722770883,36.288019434802216,false,false,false,0,0.0,1000.0
police_officer,1,1.0,police_officer44,27.872781562734755,35.85878879404898,false,false,false,0,0.0,1000.0
police_officer,1,1.0,police_officer45,26.119265202574265,35.20871341597772,false,false,false,0,0.0,1000.0
police_officer,1,1.0,police_officer46,23.88073479742573,35.20871341597772,false,false,false,0,0.0,1000.0
police_officer,1,1.0,police_officer47,22.127218437265242,35.85878879404898,false,false,false,0,0.0,1000.0
